Barcode,Lon,Lat,Lon_Park,Lat_Park
1665701,-95.20483,29.59398,-95.21749901,29.59976696
1459602,-95.21191,29.58823,-95.21749901,29.59976696
1692901,-95.21351,29.59837,-95.21749901,29.59976696
1536101,-95.21014,29.5934,-95.21749901,29.59976696
2021302,-95.20953,29.60122,-95.21749901,29.59976696
1543802,-95.2141,29.59893,-95.21749901,29.59976696
1543803,-95.2141,29.59893,-95.21749901,29.59976696
1445901,-95.19883,29.59619,-95.21749901,29.59976696
1475501,-95.19737,29.59573,-95.21749901,29.59976696
1650902,-95.20224,29.59352,-95.21749901,29.59976696
1431401,-95.19737,29.59573,-95.21749901,29.59976696
2004102,-95.19109,29.60602,-95.21749901,29.59976696
1590602,-95.20988,29.59228,-95.21749901,29.59976696
1459101,-95.20982,29.59226,-95.21749901,29.59976696
1590601,-95.20988,29.59228,-95.21749901,29.59976696
1437301,-95.19813,29.59022,-95.21749901,29.59976696
1706401,-95.22721,29.5965,-95.21749901,29.59976696
1705501,-95.22237,29.60486,-95.21749901,29.59976696
1577301,-95.22304,29.60984,-95.21749901,29.59976696
1585701,-95.21031,29.59584,-95.21749901,29.59976696
1970701,-95.19517,29.59078,-95.21749901,29.59976696
1424701,-95.2139,29.59686,-95.21749901,29.59976696
1423802,-95.2239,29.60932,-95.21749901,29.59976696
1431402,-95.19737,29.59573,-95.21749901,29.59976696
1504901,-95.22153,29.60207,-95.21749901,29.59976696
1930701,-95.19737,29.59573,-95.21749901,29.59976696
1573602,-95.22008,29.58816,-95.21749901,29.59976696
1423301,-95.19883,29.59619,-95.21749901,29.59976696
1746501,-95.19952,29.59377,-95.21749901,29.59976696
1504903,-95.22153,29.60207,-95.21749901,29.59976696
2004101,-95.19109,29.60602,-95.21749901,29.59976696
1650901,-95.20224,29.59352,-95.21749901,29.59976696
1436502,-95.20208,29.59095,-95.21749901,29.59976696
1443302,-95.19576,29.59024,-95.21749901,29.59976696
1909601,-95.20316,29.58776,-95.21749901,29.59976696
1424702,-95.2139,29.59686,-95.21749901,29.59976696
1398901,-95.20648,29.60221,-95.21749901,29.59976696
1409401,-95.19883,29.59619,-95.21749901,29.59976696
1376401,-95.20594,29.60124,-95.21749901,29.59976696
1504902,-95.22153,29.60207,-95.21749901,29.59976696
1738101,-95.19921,29.5937,-95.21749901,29.59976696
1511602,-95.19737,29.59573,-95.21749901,29.59976696
1363101,-95.20871,29.60301,-95.21749901,29.59976696
1539001,-95.19682,29.58899,-95.21749901,29.59976696
1522901,-95.21458,29.59737,-95.21749901,29.59976696
1706403,-95.22721,29.5965,-95.21749901,29.59976696
1548301,-95.20853,29.59491,-95.21749901,29.59976696
1654301,-95.21628,29.58987,-95.21749901,29.59976696
1738102,-95.19921,29.5937,-95.21749901,29.59976696
1503601,-95.22783,29.6033,-95.21749901,29.59976696
1414701,-95.2224,29.59603,-95.21749901,29.59976696
1423801,-95.2239,29.60932,-95.21749901,29.59976696
1522902,-95.21458,29.59737,-95.21749901,29.59976696
1511601,-95.19737,29.59573,-95.21749901,29.59976696
1436901,-95.19623,29.59172,-95.21749901,29.59976696
1654501,-95.22078,29.60655,-95.21749901,29.59976696
1395201,-95.22022,29.60448,-95.21749901,29.59976696
1741701,-95.42561,29.56164,-95.41838384,29.60003585
1437902,-95.27309,29.61668,-95.27689394,29.60541646
1809903,-95.27068,29.63093,-95.27689394,29.60541646
1809602,-95.28554,29.63039,-95.27689394,29.60541646
1695101,-95.26233,29.61779,-95.27689394,29.60541646
1270301,-95.27305,29.63181,-95.27689394,29.60541646
1219602,-95.27714,29.61428,-95.27689394,29.60541646
1520802,-95.26869,29.622,-95.27689394,29.60541646
1439601,-95.27296,29.62091,-95.27689394,29.60541646
1215902,-95.28554,29.63039,-95.27689394,29.60541646
