Barcode,Lon,Lat,Lon_Park,Lat_Park
158,-95.20982,29.59226,-95.21749901,29.59976696
159,-95.20988,29.59228,-95.21749901,29.59976696
160,-95.19813,29.59022,-95.21749901,29.59976696
161,-95.22721,29.5965,-95.21749901,29.59976696
162,-95.22237,29.60486,-95.21749901,29.59976696
163,-95.22304,29.60984,-95.21749901,29.59976696
164,-95.21031,29.59584,-95.21749901,29.59976696
165,-95.19517,29.59078,-95.21749901,29.59976696
166,-95.2139,29.59686,-95.21749901,29.59976696
167,-95.2239,29.60932,-95.21749901,29.59976696
168,-95.19737,29.59573,-95.21749901,29.59976696
169,-95.22153,29.60207,-95.21749901,29.59976696
170,-95.19737,29.59573,-95.21749901,29.59976696
171,-95.22008,29.58816,-95.21749901,29.59976696
172,-95.19883,29.59619,-95.21749901,29.59976696
173,-95.19952,29.59377,-95.21749901,29.59976696
174,-95.22153,29.60207,-95.21749901,29.59976696
175,-95.19109,29.60602,-95.21749901,29.59976696
176,-95.20224,29.59352,-95.21749901,29.59976696
177,-95.20208,29.59095,-95.21749901,29.59976696
178,-95.19576,29.59024,-95.21749901,29.59976696
179,-95.20316,29.58776,-95.21749901,29.59976696
180,-95.2139,29.59686,-95.21749901,29.59976696
181,-95.20648,29.60221,-95.21749901,29.59976696
182,-95.19883,29.59619,-95.21749901,29.59976696
183,-95.20594,29.60124,-95.21749901,29.59976696
184,-95.22153,29.60207,-95.21749901,29.59976696
185,-95.19921,29.5937,-95.21749901,29.59976696
186,-95.19737,29.59573,-95.21749901,29.59976696
187,-95.20871,29.60301,-95.21749901,29.59976696
188,-95.19682,29.58899,-95.21749901,29.59976696
189,-95.21458,29.59737,-95.21749901,29.59976696
190,-95.22721,29.5965,-95.21749901,29.59976696
191,-95.20853,29.59491,-95.21749901,29.59976696
192,-95.21628,29.58987,-95.21749901,29.59976696
193,-95.19921,29.5937,-95.21749901,29.59976696
194,-95.22783,29.6033,-95.21749901,29.59976696
195,-95.2224,29.59603,-95.21749901,29.59976696
196,-95.2239,29.60932,-95.21749901,29.59976696
197,-95.21458,29.59737,-95.21749901,29.59976696
198,-95.19737,29.59573,-95.21749901,29.59976696
199,-95.19623,29.59172,-95.21749901,29.59976696
200,-95.22078,29.60655,-95.21749901,29.59976696
201,-95.22022,29.60448,-95.21749901,29.59976696
202,-95.42561,29.56164,-95.41838384,29.60003585
203,-95.27309,29.61668,-95.27689394,29.60541646
204,-95.27068,29.63093,-95.27689394,29.60541646
205,-95.28554,29.63039,-95.27689394,29.60541646
206,-95.26233,29.61779,-95.27689394,29.60541646
207,-95.27305,29.63181,-95.27689394,29.60541646
208,-95.27714,29.61428,-95.27689394,29.60541646
209,-95.26869,29.622,-95.27689394,29.60541646
210,-95.27296,29.62091,-95.27689394,29.60541646
211,-95.28554,29.63039,-95.27689394,29.60541646
212,-95.27293,29.62731,-95.27689394,29.60541646
213,-95.28551,29.61272,-95.27689394,29.60541646
214,-95.28551,29.61272,-95.27689394,29.60541646
215,-95.27061,29.62733,-95.27689394,29.60541646
216,-95.27316,29.63181,-95.27689394,29.60541646
217,-95.28551,29.61272,-95.27689394,29.60541646
218,-95.28551,29.61272,-95.27689394,29.60541646
219,-95.27734,29.62724,-95.27689394,29.60541646
220,-95.2683,29.62915,-95.27689394,29.60541646
221,-95.27093,29.63003,-95.27689394,29.60541646
222,-95.28551,29.61272,-95.27689394,29.60541646
223,-95.27071,29.61776,-95.27689394,29.60541646
224,-95.26865,29.62824,-95.27689394,29.60541646
225,-95.28554,29.63039,-95.27689394,29.60541646
226,-95.26846,29.61567,-95.27689394,29.60541646
227,-95.28536,29.6215,-95.27689394,29.60541646
228,-95.28463,29.61826,-95.27689394,29.60541646
229,-95.28036,29.61846,-95.27689394,29.60541646
230,-95.26869,29.622,-95.27689394,29.60541646
